Generation,Experiment,BoxID,Date_P,Original_environment,Population,Line,Column,Test_environment,Nb_eggs,Date_C_O,Obs_O
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,2,1,Grape,0,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,2,2,Rosehips,0,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,2,3,Blackberry,0,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,2,4,Tomato,2,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,3,1,Blackcurrant,0,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,3,2,Kiwi,0,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,3,3,Cherry,2,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,3,4,Apricot,0,29/11/2018,LO
G0,Plasticity,964,25/09/2018,WT3,WT3,1,1,Cranberry,24,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,1,2,Blackcurrant,52,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,1,3,Tomato,9,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,1,4,Strawberry,24,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,2,1,Grape,3,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,2,2,Raspberry,17,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,2,3,Blackberry,10,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,2,4,Apricot,2,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,3,1,Cherry,55,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,3,2,Rosehips,13,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,3,3,Kiwi,17,12/6/18,PA
G0,Plasticity,964,25/09/2018,WT3,WT3,3,4,Fig,8,12/6/18,PA
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,1,1,Raspberry,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,1,2,Fig,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,1,3,Kiwi,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,1,4,Apricot,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,2,1,Grape,1,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,2,2,Rosehips,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,2,3,Tomato,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,2,4,Cranberry,0,13/12/2018,CD
G0,Plasticity,965,25/09/2018,Blackberry,Blackberry38,3,1,Cherry,0,13/12/2018,CD
